id,author_id,text,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1516590790834802694,1063756713877213185,Liam Payne explains ‘funny’ accent during his Will Smith Oscars chat on GMB https://t.co/R2yCtYXwwU,2022-04-20T01:33:16.000Z,0,0,0,0
1516589969766330370,15676578,Jada Pinkett Smith is back at the red table in the wake of the Oscars altercation between Will Smith and Chris Rock. https://t.co/AOIUpohRHJ,2022-04-20T01:30:00.000Z,1,0,1,0
1516588860179984385,1258158512666038279,"Liza Minnelli Was 'Sabotaged' At 2022 Oscars Ceremony, Longtime Collaborator Claims
https://t.co/MaWS8oqQB7",2022-04-20T01:25:35.000Z,0,0,0,0
1516586955399651333,1385622923063537667,"sabatoged

https://t.co/AdLRMKap1B",2022-04-20T01:18:01.000Z,0,0,0,0
1516586849204011008,928209979139600384,"Liza Minnelli, 76, felt ‘shaken’ and ‘sabotaged’ after being forced on stage in wheelchair at Oscars https://t.co/atSLcaROoP",2022-04-20T01:17:36.000Z,0,0,0,0
1516586658740768770,166794553,"RT @Phil_Lewis_: Jada Pinkett Smith’s Red Table Talk is returning to Facebook Watch tomorrow

https://t.co/ddSz55DxQs",2022-04-20T01:16:50.000Z,33,0,0,0
1516586581116653570,81703569,"RT @thejoshuablog: Via @huffpostqueer: Liza Minnelli Was 'Sabotaged' At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/6EO…",2022-04-20T01:16:32.000Z,1,0,0,0
1516586565849554947,190271406,"RT @HuffPostEnt: Michael Feinstein, a five-time Grammy nominee, alleged that the ""Cabaret"" star was ""forced"" to appear in a wheelchair agai…",2022-04-20T01:16:28.000Z,1,0,0,0
1516586552360456192,542037801,"RT @huffpostqueer: Michael Feinstein, a five-time Grammy nominee, alleged that the ""Cabaret"" star was ""forced"" to appear in a wheelchair ag…",2022-04-20T01:16:25.000Z,2,0,0,0
1516586456688381953,15182798,"Via @huffpostqueer: Liza Minnelli Was 'Sabotaged' At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/6EOsoLQwhf | #lgbtq #lgbt #politics",2022-04-20T01:16:02.000Z,1,0,0,0
1516585943033131014,366606110,"Michael Feinstein, a five-time Grammy nominee, alleged that the ""Cabaret"" star was ""forced"" to appear in a wheelchair against her wishes. https://t.co/AWhLDJF4aP",2022-04-20T01:14:00.000Z,2,2,6,0
1516585941821005833,128626186,"Michael Feinstein, a five-time Grammy nominee, alleged that the ""Cabaret"" star was ""forced"" to appear in a wheelchair against her wishes. https://t.co/9vO7PpLpYa",2022-04-20T01:13:59.000Z,0,0,0,0
1516585940524929025,22208192,"Michael Feinstein, a five-time Grammy nominee, alleged that the ""Cabaret"" star was ""forced"" to appear in a wheelchair against her wishes. https://t.co/wwlQqk9dAj",2022-04-20T01:13:59.000Z,1,0,0,0
1516585939199537155,309978842,"Michael Feinstein, a five-time Grammy nominee, alleged that the ""Cabaret"" star was ""forced"" to appear in a wheelchair against her wishes. https://t.co/TVmiElpagF",2022-04-20T01:13:59.000Z,0,0,1,0
1516585090079469575,1705999651,"Social Update: Jada Pinkett Smith's 'Red Table Talk' Lineup Revealed, No Mention Of Will or Slap. Jada Pinkett Smith's ""Red Table Talk"" is returning with all-new episodes, but their lineup is glaringly missing Will Smith as a guest... https://t.co/PZ8abnGTnN #tmz #theartsandus https://t.co/CJumoUF1Xa",2022-04-20T01:10:36.000Z,0,0,0,0
1516584537286975500,16478261,@10mm_404 @thedailybeast We know that states without mandates weren’t always worse on Covid. And science isn’t necessary at the Oscars or State of the Union. Airplane air is extremely well filtered and very clear. It’s 2022 now.,2022-04-20T01:08:25.000Z,0,1,0,0
1516584194616578056,1473305363818631178,"G-Eazy, Ashley Benson spotted making out at pre-Oscars party https://t.co/yzcSb63c1z via @pagesix",2022-04-20T01:07:03.000Z,0,1,0,0
